ID1	ID2	Type
MMP19	ITGA5	co-expression
MMP19	LZTS1	co-expression
MMP19	MMP2	co-expression
MMP19	MRC2	co-expression
MMP19	MSC	co-expression
MMP19	MXRA8	co-expression
MMP19	OLFML2B	co-expression
MMP19	P4HA3	co-expression
MMP19	PCOLCE	co-expression
MMP19	PDGFRB	co-expression
MMP19	PDPN	co-expression
MMP19	PLXDC1	co-expression
MMP19	PRR16	co-expression
MMP19	RFTN1	co-expression
MMP19	RHOJ	co-expression
MMP19	S1PR1	co-expression
MMP19	SERPINF1	co-expression
MMP19	SERPING1	co-expression
MMP19	SNAI2	co-expression
MMP19	SPARC	co-expression
MMP19	STARD8	co-expression
MMP19	SYDE1	co-expression
MMP19	SYNDIG1	co-expression
MMP19	THBD	co-expression
MMP19	THBS2	co-expression
MMP19	THY1	co-expression
MMP19	TIE1	co-expression
MMP19	TIMP2	co-expression
MMP19	TMEM119	co-expression
MMP19	TNC	co-expression
MMP19	TWIST1	co-expression
MMP19	VEGFC	co-expression
MMP19	VIM	co-expression
MMP19	VSTM4	co-expression
MMP19	ZNF469	co-expression
MMP19	ZNF521	co-expression
MMP19	SLC2A3	co-expression
MMP19	CFH	co-expression
RAPGEF6	G3BP1	co-expression
RAPGEF6	GABPA	co-expression
RAPGEF6	RBM27	co-expression
RAPGEF6	ZRANB2	co-expression
CRYAB	LBH	direct
CRYAB	HSPB8	direct
CRYAB	ACTA2	co-expression
CRYAB	AOC3	co-expression
CRYAB	ARHGEF25	co-expression
CRYAB	BOC	co-expression
CRYAB	CNN1	co-expression
CRYAB	DACT3	co-expression
CRYAB	DNAJB5	co-expression
CRYAB	EFS	co-expression
CRYAB	HSPB7	co-expression
CRYAB	JAM3	co-expression
CRYAB	JPH2	co-expression
CRYAB	KCNMB1	co-expression
CRYAB	MRGPRF	co-expression
CRYAB	MYL9	co-expression
CRYAB	RBPMS2	co-expression
CRYAB	TAGLN	co-expression
CRYAB	TMEM200B	co-expression
CRYAB	EFEMP1	co-expression
HCST	CD3E	co-expression
HCST	DOK2	co-expression
HCST	HLA-DPB1	co-expression
HCST	IL12RB1	co-expression
HCST	IL18BP	co-expression
HCST	MYO1G	co-expression
HCST	NCF1	co-expression
HCST	PSTPIP1	co-expression
TRUB1	ABCE1	co-expression
TRUB1	ARL5A	co-expression
TRUB1	ASNSD1	co-expression
TRUB1	BRIX1	co-expression
TRUB1	C1D	co-expression
TRUB1	COPS2	co-expression
TRUB1	DCUN1D1	co-expression
TRUB1	EIF4E	co-expression
TRUB1	ELMOD2	co-expression
TRUB1	FAM204A	co-expression
TRUB1	GRPEL2	co-expression
TRUB1	IKZF5	co-expression
TRUB1	LYSMD3	co-expression
TRUB1	MED21	co-expression
TRUB1	MOB1A	co-expression
TRUB1	MOB4	co-expression
TRUB1	MRPL19	co-expression
TRUB1	PCNP	co-expression
TRUB1	POLR2M	co-expression
TRUB1	PRKAA1	co-expression
TRUB1	RWDD4	co-expression
TRUB1	SCAMP1	co-expression
TRUB1	SDHD	co-expression
TRUB1	SHOC2	co-expression
