miRNA	Gene	Input
hsa-miR-124-3p	MICAL2	-1
hsa-miR-124-3p	MORC4	-1
hsa-miR-124-3p	MYO10	-1
hsa-miR-124-3p	NFATC1	-1
hsa-miR-124-3p	NR3C2	-1
hsa-miR-124-3p	NRP1	-1
hsa-miR-124-3p	NSUN2	-1
hsa-miR-124-3p	OSBPL8	-1
hsa-miR-124-3p	PALLD	-1
hsa-miR-124-3p	PARP16	-1
hsa-miR-124-3p	PIK3C2A	-1
hsa-miR-124-3p	PRRX1	-1
hsa-miR-124-3p	PTBP1	-1
hsa-miR-124-3p	PTBP3	-1
hsa-miR-124-3p	PTPN12	-1
hsa-miR-124-3p	PTPN14	-1
hsa-miR-124-3p	PTPN9	-1
hsa-miR-124-3p	QKI	-1
hsa-miR-124-3p	QSER1	-1
hsa-miR-124-3p	RAB27A	-1
hsa-miR-124-3p	RHOG	-1
hsa-miR-124-3p	RNPEPL1	-1
hsa-miR-124-3p	SBNO2	-1
hsa-miR-124-3p	SH3PXD2A	-1
hsa-miR-124-3p	SHC1	-1
hsa-miR-124-3p	SIX4	-1
hsa-miR-124-3p	SLC16A1	-1
hsa-miR-124-3p	SLC17A5	-1
hsa-miR-124-3p	SLC30A7	-1
hsa-miR-124-3p	SLC31A2	-1
hsa-miR-124-3p	SLC35G1	-1
hsa-miR-124-3p	SLC50A1	-1
hsa-miR-124-3p	SMAD5	-1
hsa-miR-124-3p	SNAI2	-1
hsa-miR-124-3p	SNTB2	-1
hsa-miR-124-3p	SNX18	-1
hsa-miR-124-3p	SP1	-1
hsa-miR-124-3p	STT3A	-1
hsa-miR-124-3p	TEAD1	-1
hsa-miR-124-3p	TNRC6B	-1
hsa-miR-124-3p	TUB	-1
hsa-miR-124-3p	VAMP3	-1
hsa-miR-124-3p	VPS37C	-1
hsa-miR-1245b-5p	BZW1	-1
hsa-miR-124-5p	CSTF2	-1
hsa-miR-124-5p	PAGR1	-1
hsa-miR-124-5p	REV3L	-1
hsa-miR-1249-5p	ANKRD52	-1
hsa-miR-1249-5p	C20orf96	-1
hsa-miR-1249-5p	NFIX	-1
hsa-miR-1249-5p	NPTXR	-1
hsa-miR-1250-3p	FEM1B	-1
hsa-miR-1250-3p	HNRNPR	-1
hsa-miR-1250-3p	LIPA	-1
hsa-miR-1252-3p	IGFBP5	-1
hsa-miR-1252-3p	RAB8B	-1
hsa-miR-1252-5p	A1CF	-1
hsa-miR-1252-5p	ADGRF2	-1
hsa-miR-1252-5p	GNB1	-1
hsa-miR-1252-5p	ITCH	-1
hsa-miR-1252-5p	PDP2	-1
hsa-miR-1252-5p	RTKN2	-1
hsa-miR-1252-5p	SPTSSB	-1
hsa-miR-1257	ZNF468	-1
hsa-miR-125a-5p	ANAPC16	-1
hsa-miR-125a-5p	ARID3B	-1
hsa-miR-125a-5p	BAK1	-1
hsa-miR-125a-5p	DOCK3	-1
hsa-miR-125a-5p	IRF4	-1
hsa-miR-125a-5p	KLF13	-1
hsa-miR-125a-5p	ZNF543	-1
hsa-miR-125a-5p	ZSWIM6	-1
hsa-miR-125b-2-3p	DR1	-1
hsa-miR-125b-2-3p	POP1	-1
hsa-miR-125b-5p	ANAPC16	-1
hsa-miR-125b-5p	ARID3B	-1
hsa-miR-125b-5p	BAK1	-1
hsa-miR-125b-5p	BMF	-1
hsa-miR-125b-5p	CDH5	-1
hsa-miR-125b-5p	CGN	-1
hsa-miR-125b-5p	CYP24A1	-1
hsa-miR-125b-5p	IRF4	-1
hsa-miR-125b-5p	KCNS3	-1
hsa-miR-125b-5p	KLF13	-1
hsa-miR-125b-5p	STARD13	-1
hsa-miR-125b-5p	ZNF543	-1
hsa-miR-125b-5p	ZSWIM6	-1
hsa-miR-1260a	ATF6B	-1
hsa-miR-1260b	ATF6B	-1
