TF	Gene	Input
HMGA1	POU1F1	1
HMGA1	PTGS2	1
HMGA1	SLC2A3	1
HMGA1	TWIST1	1
HMGA2	CDH1	1
HMGA2	COL11A2	1
HMGA2	POU1F1	1
HMGB2	GFI1B	1
HMGB2	TNF	1
HNF1A	ACAT2	1
HNF1A	CDH17	1
HNF1A	IGFBP1	1
HNF1A	LCT	1
HNF1A	MTTP	1
HNF1A	SLC22A10	1
HNF1A	SLC22A9	1
HNF1A	UGT1A1	1
HNF1A	UGT1A10	1
HNF1A	UGT1A8	1
HNF1A	UGT1A9	1
HNF1A	UGT2B17	1
HNF1A	UGT2B7	1
HNF1B	UMOD	1
HNF4A	AFP	1
HNF4A	C1QTNF5	1
HNF4A	CEACAM1	1
HNF4A	CYP2C8	1
HNF4A	CYP2C9	1
HNF4A	CYP2D6	1
HNF4A	FABP2	1
HNF4A	LDLR	1
HNF4A	MMP7	1
HNF4A	MTTP	1
HNF4A	MYC	1
HNF4A	NPC1L1	1
HNF4A	NR1I2	1
HNF4A	PCSK9	1
HNF4A	RNASE2	1
HNF4A	SERPINC1	1
HNF4A	SHBG	1
HNF4G	AFP	1
HNF4G	CYP2D6	1
HOPX	FLG	1
HOPX	LOR	1
HOXA1	BCL2	1
HOXA1	CCND1	1
HOXA1	MYC	1
HOXA10	BHLHE22	1
HOXA10	EMX2	1
HOXA10	ID2	1
HOXA10	IGFBP1	1
HOXA10	IL15	1
HOXA10	TP53	1
HOXA5	ARHGEF1	1
HOXA5	PGR	1
HOXA5	PTN	1
HOXA7	CDH1	1
HOXA7	IVL	1
HOXA7	KRT10	1
HOXA7	VIM	1
HOXA9	ARHGEF1	1
HOXA9	ID2	1
HOXA9	MYCN	1
HOXB7	CCND1	1
HOXB7	EGFR	1
HOXB7	FGF2	1
HOXB7	MMP2	1
HOXB7	PDGFA	1
HOXB7	VEGFA	1
HOXB7	WNT5A	1
HOXD9	HOXD9	1
HR	OLR1	1
HSF1	ATG7	1
HSF1	HSPA4	1
HSF1	LDHA	1
HSF1	MICA	1
HSF1	MICB	1
HSF1	NAT1	1
HSF1	POLK	1
HSF1	SERPINE1	1
HSF2	HSPA4	1
HSF2	TNFSF11	1
HSF4	DNASE2B	1
ID2	SNAI1	1
IFI16	WT1	1
IKZF1	FGFR4	1
ILF2	ACRV1	1
ILF3	ACRV1	1
ILF3	BIRC5	1
ILF3	IL2	1
ILF3	PLAU	1
ING1	BAX	1
ING1	CASP3	1
ING1	CDKN1A	1
ING1	TP53	1
ING2	MMP13	1
ING4	ARL6IP5	1
ING4	BAX	1
ING4	CASP3	1
ING4	CDKN1A	1
ING4	CDKN1B	1
ING4	TP53	1
IRF1	CASP7	1
IRF1	CD40	1
IRF1	CEACAM1	1
IRF1	CIITA	1
IRF1	CXCL10	1
IRF1	CYBB	1
IRF1	DDX58	1
IRF1	EIF2AK2	1
IRF1	HLA-A	1
IRF1	IFIT3	1
IRF1	IFNA1	1
IRF1	IFNA13	1
IRF1	IFNB1	1
IRF1	IFNG	1
IRF1	IL10	1
IRF1	IL27	1
IRF1	IRF2	1
IRF1	NCF2	1
IRF1	PSMB9	1
IRF1	SOCS1	1
IRF1	SOCS2	1
IRF1	TAP1	1
IRF1	TNFSF10	1
IRF2	CIITA	1
IRF2	IFNB1	1
IRF2	TAP1	1
IRF3	ABCC2	1
IRF3	CXCL10	1
IRF3	IFNA1	1
IRF3	IFNB1	1
IRF3	MAVS	1
IRF3	SOCS2	1
IRF4	FCER2	1
IRF5	IFNA1	1
IRF7	ATF4	1
IRF7	CD80	1
IRF7	CXCL10	1
IRF7	IFNA1	1
IRF7	IFNA13	1
IRF7	IFNA2	1
IRF7	IFNB1	1
IRF8	CYBB	1
IRF8	IL1B	1
IRF8	NCF2	1
IRF8	NF1	1
IRF9	CDKN1A	1
IRF9	CDKN1B	1
IRF9	NCAM1	1
IRF9	PML	1
IRF9	SP100	1
ISL1	MEF2C	1
JUN	ABCB1	1
JUN	APOC3	1
JUN	ATF3	1
JUN	BECN1	1
JUN	BEX2	1
JUN	BRCA1	1
JUN	CCK	1
