Protein	Protein	Input
ZBTB8A	ACOT12	1
ACOT13	ACOT13	1
MYDGF	ACOT13	1
SPG21	ACOT13	1
CAMK2B	ACOT7	1
DYNLT1	ACOX2	1
ACPP	ACPP	1
TP53BP1	ACR	1
APOA5	ACSF2	1
APOC1	ACSF2	1
CLEC10A	ACSF2	1
CMTM5	ACSF2	1
COQ9	ACSF2	1
CREB3	ACSF2	1
RDH10	ACSF2	1
RHBDD2	ACSF2	1
SENP2	ACSF2	1
SYNGR3	ACSF2	1
GLP1R	ACSF3	1
MATN4	ACSF3	1
PPP1R13B	ACSF3	1
RAB28	ACSF3	1
AQP6	ACSL5	1
CREB3	ACSL5	1
EBAG9	ACSL5	1
PEX12	ACSL5	1
RETREG3	ACSL5	1
SELENOI	ACSL5	1
SLC10A1	ACSL5	1
SLC10A6	ACSL5	1
SLC16A7	ACSL5	1
SLC35C2	ACSL5	1
SLC7A14	ACSL5	1
TMEM14B	ACSL5	1
ACSL6	ACSL6	1
CMTM5	ACSM1	1
MTUS2	ACSM1	1
OSBPL3	ACSM1	1
MEOX2	ACSS1	1
VAC14	ACSS1	1
ACTB	ACTB	1
RNF4	ACTB	1
KLHL2	ACTC1	1
ACTB	ACTG1	1
ACTG1	ACTG1	1
CAP1	ACTG1	1
CAP2	ACTG1	1
CCDC22	ACTG1	1
CDC37	ACTG1	1
CFL1	ACTG1	1
CFL2	ACTG1	1
DSTN	ACTG1	1
EHHADH	ACTG1	1
MLH1	ACTG1	1
TRAF2	ACTG1	1
WASL	ACTG1	1
WDYHV1	ACTG1	1
TES	ACTL7A	1
COL4A3BP	ACTL8	1
ACTN1	ACTN1	1
APPBP2	ACTN1	1
CAMK2A	ACTN1	1
COL17A1	ACTN1	1
CTNNA1	ACTN1	1
USP2	ACTN1	1
ACTN2	ACTN2	1
BAD	ACTN2	1
MYOM2	ACTN2	1
SP100	ACTN2	1
USP2	ACTN2	1
ABI3	ACTN3	1
ACTN1	ACTN3	1
ACTN2	ACTN3	1
ACTN3	ACTN3	1
ACTN4	ACTN3	1
ASB9	ACTN3	1
ATP23	ACTN3	1
C1orf94	ACTN3	1
C20orf85	ACTN3	1
C2CD6	ACTN3	1
CADPS	ACTN3	1
CTAG1B	ACTN3	1
CTDSP1	ACTN3	1
CXCL5	ACTN3	1
DDAH2	ACTN3	1
ECM1	ACTN3	1
FAM90A1	ACTN3	1
GLIS2	ACTN3	1
HGS	ACTN3	1
HOXD12	ACTN3	1
HSF2BP	ACTN3	1
IVD	ACTN3	1
KCTD6	ACTN3	1
KRT6C	ACTN3	1
LHX3	ACTN3	1
LNX1	ACTN3	1
MAGEA6	ACTN3	1
MICALL2	ACTN3	1
MYOT	ACTN3	1
MYOZ1	ACTN3	1
NDUFAB1	ACTN3	1
NEBL	ACTN3	1
NKAPD1	ACTN3	1
ODF3B	ACTN3	1
PCCB	ACTN3	1
PKP2	ACTN3	1
PLEKHG2	ACTN3	1
POU6F2	ACTN3	1
PPP1R18	ACTN3	1
PTK6	ACTN3	1
REL	ACTN3	1
RNF111	ACTN3	1
RTP5	ACTN3	1
SNAI1	ACTN3	1
SOHLH1	ACTN3	1
SYNPO2L	ACTN3	1
TRAF1	ACTN3	1
TRAF2	ACTN3	1
TRIM29	ACTN3	1
USP2	ACTN3	1
ZNF343	ACTN3	1
ZNF426	ACTN3	1
BMP7	ACTN4	1
CDH1	ACTN4	1
COL17A1	ACTN4	1
FN1	ACTN4	1
HDAC7	ACTN4	1
HSPB1	ACTN4	1
LNX1	ACTN4	1
PDLIM1	ACTN4	1
TRIM3	ACTN4	1
KRT31	ACTR10	1
NAGK	ACTR10	1
BMPR1A	ACVR1	1
FKBP1A	ACVR1B	1
HSP90AB1	ACVR1B	1
NR1H2	ACVRL1	1
ACY1	ACY1	1
BCAS2	ACY1	1
FAM46B	ACY1	1
NUDT1	ACY1	1
PRR35	ACY1	1
TLX3	ACY1	1
TTC1	ACY1	1
WDYHV1	ACY1	1
WWOX	ACY1	1
AAMDC	ACY3	1
ACY3	ACY3	1
ARF5	ACY3	1
ASPA	ACY3	1
GORASP2	ACY3	1
LNX1	ACY3	1
PIAS2	ACY3	1
CREBZF	ACYP2	1
SULT2B1	ACYP2	1
MESD	ADAL	1
ADAMTSL4	ADAM12	1
FHL5	ADAM12	1
FSTL3	ADAM12	1
GUCD1	ADAM12	1
HOXA1	ADAM12	1
IGFBP3	ADAM12	1
MAPKBP1	ADAM12	1
OTX1	ADAM12	1
RECK	ADAM12	1
TFAP2D	ADAM12	1
ATXN1	ADAM15	1
ODAM	ADAM15	1
SH3GL2	ADAM15	1
SH3PXD2A	ADAM15	1
SNX9	ADAM15	1
SP4	ADAM15	1
TRIP13	ADAM15	1
DLG1	ADAM17	1
PTPN3	ADAM17	1
SGTA	ADAM21	1
CLDN8	ADAM32	1
AQP9	ADAM33	1
CYB5R3	ADAM33	1
FCGR2A	ADAM33	1
HIBADH	ADAM33	1
OPRM1	ADAM33	1
PLEKHO1	ADAM33	1
SEC11A	ADAM33	1
SLC22A23	ADAM33	1
SLC4A1	ADAM33	1
STOML3	ADAM33	1
TMEM106C	ADAM33	1
TMEM14B	ADAM33	1
TNFSF14	ADAM33	1
MAD2L2	ADAM9	1
SH3GL2	ADAM9	1
SNX9	ADAM9	1
CALM2	ADAMTS12	1
